timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706084143836,491,Get,200,OK,API 1-1,text,true,,1929,160,1,1,https://reqres.in/api/users?page=2,486,0,403
1706084144332,613,HTTP Request,200,OK,API 1-1,text,true,,30274,144,1,1,https://reqres.in/,433,0,0
1706084144949,431,post,201,Created,API 1-1,text,true,,930,224,1,1,https://reqres.in/api/users,430,0,0
1706084145380,418,Delete,204,No Content,API 1-1,,true,,800,228,1,1,https://reqres.in/api/users/2,0,0,0
1706084145799,441,PUT,200,OK,API 1-1,text,true,,921,232,1,1,https://reqres.in/api/users/2,441,0,0
